Unnamed: 0,Manufacturer,Category,Screen,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Screen_Size_in,Weight_lb,Price-binned,Screen_encoded
129,Lenovo,3,Full HD,2,1,5,33.78,2.5,8,256,1.44,1206,13.17,3.17,Medium,0
130,Dell,4,IPS Panel,2,1,5,33.78,2.5,8,128,1.29,1142,13.17,2.84,Low,1
131,HP,3,Full HD,3,1,5,39.62,2.5,8,256,2.04,1129,15.45,4.49,Low,0
132,HP,4,IPS Panel,2,1,7,33.02,2.7,8,256,1.32,1777,12.88,2.9,High,1
133,Dell,3,Full HD,2,1,5,35.56,2.6,8,256,1.64,1626,13.87,3.61,High,0
134,Lenovo,3,Full HD,2,1,5,35.56,2.3,8,256,2.02,1702,13.87,4.44,High,0
135,Dell,3,Full HD,2,1,5,39.62,2.8,8,256,1.9,1749,15.45,4.18,High,0
136,Dell,3,Full HD,3,1,7,39.62,2.8,8,256,1.93,1739,15.45,4.25,High,0
137,Dell,3,Full HD,1,1,5,39.62,1.6,8,256,2.2,1013,15.45,4.84,Low,0
138,Lenovo,3,IPS Panel,3,1,7,35.56,2.7,8,256,1.87,1091,13.87,4.11,Low,1
139,Dell,3,Full HD,2,1,3,35.56,2.0,4,128,1.6,935,13.87,3.52,Low,0
140,HP,3,Full HD,2,1,3,39.62,2.4,4,128,2.1,896,15.45,4.62,Low,0
141,Lenovo,3,Full HD,2,1,3,39.62,2.0,4,128,2.2,634,15.45,4.84,Low,0
142,Dell,3,Full HD,2,1,5,39.62,2.5,8,256,1.9,1419,15.45,4.18,Medium,0
143,Lenovo,3,Full HD,2,1,3,39.62,2.7,4,128,2.05,800,15.45,4.51,Low,0
144,Lenovo,3,IPS Panel,3,1,7,43.18,2.8,8,256,3.4,3810,16.84,7.48,High,1
145,Lenovo,3,Full HD,2,1,5,39.62,2.5,8,256,2.3,1054,15.45,5.06,Low,0
146,Dell,3,Full HD,1,2,7,39.62,2.7,8,256,2.2,951,15.45,4.84,Low,0
147,HP,3,Full HD,2,1,3,33.78,2.4,4,128,1.49,913,13.17,3.28,Low,0
148,Dell,3,Full HD,3,1,7,39.62,2.8,16,256,1.93,1953,15.45,4.25,High,0
149,Lenovo,4,IPS Panel,2,1,7,35.56,2.6,12,256,1.4,2125,13.87,3.08,High,1
150,Lenovo,3,IPS Panel,2,1,5,35.56,2.5,8,256,1.7,1872,13.87,3.74,High,1
151,Dell,5,Full HD,3,1,7,37.27,2.8,8,256,2.06,2240,14.54,4.53,High,0
152,HP,3,Full HD,2,1,7,39.62,2.7,8,256,1.84,1548,15.45,4.05,Medium,0
153,Toshiba,3,IPS Panel,2,1,7,38.1,2.5,8,256,2.2,1777,14.86,4.84,High,1
154,Dell,3,Full HD,1,2,5,39.62,2.5,4,128,2.18,723,15.45,4.8,Low,0
155,Lenovo,3,Full HD,2,1,5,35.56,2.3,8,256,1.65,1861,13.87,3.63,High,0
156,Dell,3,Full HD,3,1,7,39.62,2.8,8,256,2.0,2312,15.45,4.4,High,0
157,Lenovo,3,Full HD,2,1,5,39.62,1.6,4,256,1.8,1053,15.45,3.96,Low,0
158,Acer,4,IPS Panel,2,1,5,35.56,2.5,8,256,1.8,1167,13.87,3.96,Medium,1
159,Razer,1,Full HD,3,1,7,35.56,2.8,16,256,1.95,3301,13.87,4.29,High,0
160,Toshiba,3,Full HD,2,1,5,33.78,2.3,8,256,1.2,1541,13.17,2.64,Medium,0
161,Lenovo,4,IPS Panel,2,1,7,30.48,2.7,8,256,1.36,2012,11.89,2.99,High,1
162,Dell,4,Full HD,2,1,5,33.78,1.6,8,256,1.2,1842,13.17,2.64,High,0
163,Dell,3,Full HD,1,1,7,39.62,1.8,8,256,2.2,1167,15.45,4.84,Medium,0
164,Dell,3,Full HD,2,1,5,35.56,2.4,8,256,1.56,1561,13.87,3.43,Medium,0
165,Toshiba,3,IPS Panel,2,1,5,38.1,2.5,8,256,2.0,1598,14.86,4.4,Medium,1
166,Asus,4,Full HD,2,1,5,35.56,2.5,8,256,1.1,1442,13.87,2.42,Medium,0
167,Acer,1,Full HD,3,1,5,39.62,2.5,16,256,2.5,1650,15.45,5.5,High,0
168,MSI,1,Full HD,3,1,5,39.62,2.5,8,256,2.2,1268,15.45,4.84,Medium,0
169,HP,3,IPS Panel,1,1,3,43.18,2.0,4,256,2.5,888,16.84,5.5,Low,1
170,Lenovo,3,Full HD,2,1,5,35.56,2.5,4,256,1.7,888,13.87,3.74,Low,0
171,Toshiba,3,IPS Panel,2,1,5,33.02,2.5,8,256,1.5,1236,12.88,3.3,Medium,1
172,Dell,3,Full HD,2,1,5,39.62,2.5,8,256,2.18,1010,15.45,4.8,Low,0
173,Lenovo,3,Full HD,2,1,5,35.56,2.3,8,256,1.8,1513,13.87,3.96,Medium,0
174,Dell,3,Full HD,3,2,5,35.56,2.8,8,256,1.64,1383,13.87,3.61,Medium,0
175,Lenovo,3,IPS Panel,3,1,5,35.56,2.5,8,256,1.87,1089,13.87,4.11,Low,1
176,Dell,3,Full HD,2,1,5,39.62,2.6,8,256,1.9,1498,15.45,4.18,Medium,0
177,HP,3,Full HD,3,1,7,43.94,2.7,8,256,2.63,1524,17.14,5.79,Medium,0
178,Lenovo,4,IPS Panel,2,1,5,35.56,2.5,8,256,1.32,1904,13.87,2.9,High,1
179,Lenovo,3,IPS Panel,2,1,5,33.02,2.5,8,256,1.44,1219,12.88,3.17,Medium,1
180,HP,5,Full HD,3,1,7,39.62,2.8,16,256,2.6,3073,15.45,5.72,High,0
181,Toshiba,3,IPS Panel,2,1,5,35.56,2.5,8,256,1.25,1950,13.87,2.75,High,1
182,Samsung,4,Full HD,2,1,7,33.78,2.7,16,256,0.81,2095,13.17,1.78,High,0
183,HP,3,Full HD,2,1,3,39.62,2.0,8,256,1.86,685,15.45,4.09,Low,0
184,HP,3,Full HD,2,1,5,39.62,2.4,8,256,1.84,2414,15.45,4.05,High,0
185,HP,5,Full HD,3,1,7,39.62,2.6,8,256,2.59,1983,15.45,5.7,High,0
186,Dell,4,Full HD,2,1,7,31.75,2.8,16,256,1.18,2361,12.38,2.6,High,0
187,Samsung,4,Full HD,2,1,7,37.27,2.7,8,256,1.31,2031,14.54,2.88,High,0
188,Dell,3,Full HD,1,1,7,39.62,2.7,16,256,2.3,1501,15.45,5.06,Medium,0
189,Acer,3,IPS Panel,2,1,3,35.56,2.4,4,128,1.8,808,13.87,3.96,Low,1
190,Dell,1,Full HD,3,1,5,39.62,2.5,8,256,2.62,1251,15.45,5.76,Medium,0
191,Dell,3,Full HD,1,1,3,39.62,2.0,8,256,2.0,939,15.45,4.4,Low,0
192,HP,5,Full HD,3,1,7,39.62,2.8,8,256,3.14,2623,15.45,6.91,High,0
193,Asus,3,Full HD,2,1,5,39.62,2.5,8,256,2.37,1396,15.45,5.21,Medium,0
194,Dell,4,Full HD,2,1,5,33.78,2.5,8,256,1.29,1904,13.17,2.84,High,0
195,Samsung,4,Full HD,2,1,5,33.78,2.5,8,256,0.81,1904,13.17,1.78,High,0
196,Dell,3,Full HD,1,1,5,39.62,2.5,8,256,2.18,1003,15.45,4.8,Low,0
197,Lenovo,4,Full HD,2,1,7,35.56,2.7,8,256,1.32,2361,13.87,2.9,High,0
198,MSI,1,Full HD,3,1,5,39.62,2.5,8,256,2.4,1523,15.45,5.28,Medium,0
199,Acer,3,IPS Panel,2,1,3,35.56,2.4,8,128,1.5,786,13.87,3.3,Low,1
200,Lenovo,3,Full HD,2,1,5,35.56,2.3,8,256,1.7,1507,13.87,3.74,Medium,0
201,Lenovo,3,IPS Panel,2,1,5,35.56,2.6,8,256,1.32,2096,13.87,2.9,High,1
202,Dell,3,Full HD,1,1,7,39.62,2.7,4,256,2.18,939,15.45,4.8,Low,0
203,Lenovo,4,IPS Panel,3,1,7,35.56,2.8,8,256,1.96,2417,13.87,4.31,High,1
204,Asus,3,IPS Panel,3,1,7,38.1,2.7,8,256,2.3,1000,14.86,5.06,Low,1
205,Dell,3,Full HD,2,1,5,39.62,2.5,8,128,1.9,1200,15.45,4.18,Medium,0
206,HP,3,Full HD,1,1,5,39.62,2.6,8,256,1.84,1714,15.45,4.05,High,0
207,Toshiba,3,Full HD,2,1,5,33.78,2.5,4,128,1.05,1632,13.17,2.31,High,0
208,Acer,3,IPS Panel,2,1,5,35.56,2.5,8,256,1.56,1146,13.87,3.43,Medium,1
209,Toshiba,3,IPS Panel,2,1,7,38.1,2.7,8,256,2.0,1763,14.86,4.4,High,1
210,Samsung,4,Full HD,3,1,7,38.1,2.7,16,256,1.23,2349,14.86,2.71,High,0
211,Dell,4,Full HD,2,1,7,31.75,2.8,8,256,1.6,2147,12.38,3.52,High,0
212,Xiaomi,4,IPS Panel,3,1,5,33.02,2.3,8,256,1.28,1188,12.88,2.82,Medium,1
213,HP,3,Full HD,2,1,5,39.62,2.5,4,256,2.04,1066,15.45,4.49,Low,0
214,HP,3,Full HD,2,1,5,35.56,2.5,4,128,1.95,1607,13.87,4.29,High,0
215,Samsung,4,Full HD,2,1,7,38.1,2.7,8,256,1.17,2158,14.86,2.57,High,0
216,Lenovo,4,IPS Panel,2,1,5,35.56,2.5,8,256,1.32,2285,13.87,2.9,High,1
217,Toshiba,3,Full HD,2,1,5,33.78,2.5,8,256,1.05,1874,13.17,2.31,High,0
218,Dell,3,Full HD,2,1,5,35.56,2.8,8,256,1.6,1531,13.87,3.52,Medium,0
219,Lenovo,3,Full HD,3,1,7,39.62,2.7,6,256,2.2,1002,15.45,4.84,Low,0
220,HP,3,Full HD,3,1,7,39.62,2.7,8,256,2.04,1294,15.45,4.49,Medium,0
221,Lenovo,3,Full HD,2,1,5,33.78,2.5,4,128,1.44,1119,13.17,3.17,Low,0
222,HP,3,Full HD,2,1,5,33.78,2.5,8,256,1.49,1219,13.17,3.28,Medium,0
223,HP,4,Full HD,1,1,7,39.62,2.5,8,256,1.84,1648,15.45,4.05,High,0
224,Toshiba,3,IPS Panel,3,1,7,38.1,2.6,16,256,2.4,2509,14.86,5.28,High,1
225,Lenovo,4,IPS Panel,2,1,7,30.48,2.7,8,256,1.36,2096,11.89,2.99,High,1
226,HP,3,Full HD,2,1,5,39.62,2.3,8,256,2.31,1480,15.45,5.08,Medium,0
227,Toshiba,3,IPS Panel,2,1,5,35.56,2.3,4,128,1.47,1404,13.87,3.23,Medium,1
228,HP,2,Full HD,2,1,5,31.75,2.3,8,256,1.26,2120,12.38,2.77,High,0
229,Dell,4,Full HD,2,1,5,35.56,2.5,8,256,1.36,2082,13.87,2.99,High,0
230,Dell,4,Full HD,2,1,5,37.27,2.5,8,256,1.36,1870,14.54,2.99,High,0
231,Dell,4,Full HD,2,1,7,35.56,2.8,8,256,1.36,2255,13.87,2.99,High,0
232,Toshiba,3,Full HD,2,1,5,33.78,2.3,8,256,1.2,1855,13.17,2.64,High,0
233,Lenovo,4,IPS Panel,2,1,7,35.56,2.6,8,256,1.7,1891,13.87,3.74,High,1
234,Toshiba,3,Full HD,2,1,5,33.78,2.4,8,256,1.2,1950,13.17,2.64,High,0
235,Lenovo,4,IPS Panel,2,1,5,30.48,2.6,8,256,1.36,2236,11.89,2.99,High,1
236,Lenovo,3,Full HD,3,1,5,39.62,2.5,6,256,2.4,883,15.45,5.28,Low,0
237,Toshiba,3,Full HD,2,1,5,35.56,2.3,8,256,1.95,1499,13.87,4.29,Medium,0
